a, a, a, b
g, c, a, y
g, c, a, z
g, c, a, '
g, c, b, a
g, c, b, c
g, c, b, d
g, c, b, e
g, c, b, i
g, c, b, l
g, c, b, m
g, c, b, n
g, c, b, o
g, c, b, r
g, c, b, s
g, c, b, u
g, c, b, w
g, c, b, x
g, c, b, '
g, c, c, a
g, c, c, c
g, c, c, d
g, c, c, e
g, c, c, f
g, c, c, h
g, c, c, i
g, c, c, k
g, c, c, l
g, c, c, m
g, c, c, n
g, c, c, o
g, c, c, p
g, c, c, r
g, c, c, s
g, c, c, t
g, c, c, u
g, c, c, v
g, c, c, w
g, c, c, y
g, c, d, a
g, c, d, b
g, c, d, c
g, c, d, d
g, c, d, e
g, c, d, f
g, c, d, g
g, c, d, i
g, c, d, l
g, c, d, m
g, c, d, n
g, c, d, o
g, c, d, p
g, c, d, r
g, c, d, s
g, c, d, t
g, c, d, u
g, c, d, y
g, c, d, '
g, c, e, a
g, c, e, b
g, c, e, c
g, c, e, d
g, c, e, e
g, c, e, f
g, c, e, g
g, c, e, h
g, c, e, i
g, c, e, j
g, c, e, k
g, c, e, l
g, c, e, m
g, c, e, n
g, c, e, o
g, c, e, p
g, c, e, q
g, c, e, r
g, c, e, s
g, c, e, t
g, c, e, u
g, c, e, v
g, c, e, w
g, c, e, x
g, c, e, y
g, c, e, z
g, c, e, '
g, c, f, a
g, c, f, b
g, c, f, c
g, c, f, d
g, c, f, e
g, c, f, f
g, c, f, h
g, c, f, i
g, c, f, l
g, c, f, m
g, c, f, o
g, c, f, p
g, c, f, r
g, c, f, s
g, c, f, t
g, c, f, u
g, c, f, '
g, c, g, a
g, c, g, c
g, c, g, e
g, c, g, i
g, c, g, m
g, c, g, n
g, c, g, o
g, c, g, r
g, c, g, s
g, c, g, u
g, c, g, x
g, c, g, y
g, c, h, b
g, c, h, c
g, c, h, d
g, c, h, f
g, c, h, g
g, c, h, h
g, c, h, j
g, c, h, k
g, c, h, l
g, c, h, m
g, c, h, n
g, c, h, p
g, c, h, q
g, c, h, r
g, c, h, s
g, c, h, t
g, c, h, v
g, c, h, w
g, c, h, y
g, c, h, z
g, c, h, '
g, c, i, a
g, c, i, b
g, c, i, c
g, c, i, d
g, c, i, e
g, c, i, f
g, c, i, g
g, c, i, h
g, c, i, i
g, c, i, j
g, c, i, k
g, c, i, l
g, c, i, m
g, c, i, n
g, c, i, o
g, c, i, p
g, c, i, q
g, c, i, r
g, c, i, s
g, c, i, t
g, c, i, u
g, c, i, v
g, c, i, w
g, c, i, x
g, c, i, z
g, c, i, '
g, c, l, a
g, c, l, c
g, c, l, d
g, c, l, e
g, c, l, i
g, c, l, k
g, c, l, l
g, c, l, n
g, c, l, r
g, c, l, s
g, c, l, t
g, c, l, u
g, c, l, v
g, c, l, w
g, c, l, y
g, c, l, '
g, c, m, a
g, c, m, c
g, c, m, d
g, c, m, e
g, c, m, f
g, c, m, h
g, c, m, i
g, c, m, l
g, c, m, m
g, c, m, n
g, c, m, o
g, c, m, p
g, c, m, r
g, c, m, s
g, c, m, t
g, c, m, u
g, c, m, w
g, c, m, y
g, c, m, '
g, c, o, a
g, c, o, e
g, c, o, f
g, c, o, g
g, c, o, h
g, c, o, i
g, c, o, j
g, c, o, k
g, c, o, l
g, c, o, m
g, c, o, o
g, c, o, p
g, c, o, q
g, c, o, s
g, c, o, v
g, c, o, w
g, c, o, x
g, c, o, y
g, c, o, z
g, c, o, '
g, c, r, b
g, c, r, c
g, c, r, d
g, c, r, e
g, c, r, f
g, c, r, h
g, c, r, i
g, c, r, l
g, c, r, n
g, c, r, o
g, c, r, p
g, c, r, r
g, c, r, s
g, c, r, t
g, c, r, u
g, c, r, v
g, c, r, w
g, c, r, y
g, c, r, z
g, c, r, '
g, c, s, a
g, c, s, b
g, c, s, c
g, c, s, d
g, c, s, e
g, c, s, f
g, c, s, h
g, c, s, i
g, c, s, k
g, c, s, l
g, c, s, m
g, c, s, n
g, c, s, o
g, c, s, p
g, c, s, q
g, c, s, r
g, c, s, s
g, c, s, t
g, c, s, u
g, c, s, v
g, c, s, w
g, c, s, y
g, c, s, '
g, c, t, a
g, c, t, c
g, c, t, d
g, c, t, e
g, c, t, f
g, c, t, g
g, c, t, h
g, c, t, i
g, c, t, k
g, c, t, l
g, c, t, m
g, c, t, n
g, c, t, o
g, c, t, p
g, c, t, r
g, c, t, s
g, c, t, t
g, c, t, u
g, c, t, v
g, c, t, w
g, c, t, y
g, c, t, z
g, c, t, '
g, c, u, a
g, c, u, b
g, c, u, c
g, c, u, d
g, c, u, e
g, c, u, f
g, c, u, g
g, c, u, i
g, c, u, j
g, c, u, k
g, c, u, l
g, c, u, m
g, c, u, n
g, c, u, o
g, c, u, q
g, c, u, r
g, c, u, s
g, c, u, u
g, c, u, v
g, c, u, x
g, c, u, y
g, c, u, z
g, c, u, '
g, c, v, a
g, c, v, c
g, c, v, e
g, c, v, i
g, c, v, p
g, c, v, r
g, c, v, t
g, c, y, a
g, c, y, b
g, c, y, c
g, c, y, d
g, c, y, e
g, c, y, g
g, c, y, h
g, c, y, i
g, c, y, k
g, c, y, l
g, c, y, m
g, c, y, n
g, c, y, o
g, c, y, p
g, c, y, r
g, c, y, s
g, c, y, t
g, c, y, u
g, c, y, v
g, c, y, w
g, c, y, x
g, c, y, z
g, c, y, '
g, c, ', a
g, c, ', d
g, c, ', y
g, d, a, a
g, d, a, b
g, d, a, c
g, d, a, e
g, d, a, f
g, d, a, g
g, d, a, j
g, d, a, k
g, d, a, p
g, d, a, q
g, d, a, r
g, d, a, s
g, d, a, t
g, d, a, v
g, d, a, w
g, d, a, x
g, d, a, z
g, d, b, a
g, d, b, c
g, d, b, e
g, d, b, f
g, d, b, h
g, d, b, i
g, d, b, k
g, d, b, l
g, d, b, m
g, d, b, o
g, d, b, r
g, d, b, s
g, d, b, u
g, d, b, v
g, d, b, w
g, d, b, y
g, d, b, '
g, d, e, c
g, d, e, d
g, d, e, e
g, d, e, f
g, d, e, g
g, d, e, h
g, d, e, i
g, d, e, j
g, d, e, k
g, d, e, m
g, d, e, o
g, d, e, p
g, d, e, q
g, d, e, r
g, d, e, t
g, d, e, u
g, d, e, w
g, d, e, x
g, d, e, y
g, d, e, z
g, d, i, b
g, d, i, c
g, d, i, d
g, d, i, e
g, d, i, f
g, d, i, g
g, d, i, h
g, d, i, i
g, d, i, j
g, d, i, k
g, d, i, l
g, d, i, o
g, d, i, p
g, d, i, q
g, d, i, r
g, d, i, u
g, d, i, v
g, d, i, w
g, d, i, x
g, d, i, y
g, d, i, z
g, d, n, a
g, d, n, b
g, d, n, c
g, d, n, e
g, d, n, h
g, d, n, i
g, d, n, l
g, d, n, o
g, d, n, r
g, d, n, t
g, d, n, u
g, d, n, x
g, d, n, y
g, d, n, '
g, d, o, b
g, d, o, c
g, d, o, d
g, d, o, f
g, d, o, h
g, d, o, j
g, d, o, k
g, d, o, q
g, d, o, s
g, d, o, t
g, d, o, u
g, d, o, x
g, d, o, y
g, d, o, z
g, d, o, '
g, d, p, a
g, d, p, c
g, d, p, e
g, d, p, h
g, d, p, i
g, d, p, l
g, d, p, m
g, d, p, n
g, d, p, o
g, d, p, p
g, d, p, r
g, d, p, s
g, d, p, t
g, d, p, u
g, d, p, w
g, d, r, c
g, d, r, d
g, d, r, e
g, d, r, g
g, d, r, i
g, d, r, m
g, d, r, o
g, d, r, p
g, d, r, s
g, d, r, u
g, d, r, y
g, d, r, '
g, d, s, a
g, d, s, b
g, d, s, c
g, d, s, d
g, d, s, e
g, d, s, f
g, d, s, g
g, d, s, h
g, d, s, i
g, d, s, k
g, d, s, l
g, d, s, m
g, d, s, n
g, d, s, o
g, d, s, p
g, d, s, q
g, d, s, r
g, d, s, s
g, d, s, t
g, d, s, u
g, d, s, v
g, d, s, w
g, d, s, x
g, d, s, y
g, d, s, z
g, d, s, '
g, d, u, a
g, d, u, b
g, d, u, c
g, d, u, d
g, d, u, e
g, d, u, f
g, d, u, h
g, d, u, i
g, d, u, j
g, d, u, k
g, d, u, m
g, d, u, n
g, d, u, o
g, d, u, p
g, d, u, q
g, d, u, r
g, d, u, t
g, d, u, u
g, d, u, v
g, d, u, w
g, d, u, x
g, d, u, y
g, d, u, z
g, d, y, a
g, d, y, b
g, d, y, c
g, d, y, d
g, d, y, e
g, d, y, f
g, d, y, g
g, d, y, h
g, d, y, i
g, d, y, k
g, d, y, l
g, d, y, m
g, d, y, o
g, d, y, p
g, d, y, s
g, d, y, t
g, d, y, u
g, d, y, v
g, d, y, w
g, d, y, x
g, d, y, '
g, d, ', a
g, d, ', e
g, d, ', h
g, d, ', i
g, d, ', o
g, d, ', u
g, d, ', v
g, e, a, a
g, e, a, e
g, e, a, f
g, e, a, h
g, e, a, j
g, e, a, k
g, e, a, m
g, e, a, p
g, e, a, q
g, e, a, v
g, e, a, w
g, e, a, x
g, e, a, y
g, e, a, z
g, e, b, c
g, e, b, d
g, e, b, f
g, e, b, g
g, e, b, k
g, e, b, m
g, e, b, n
g, e, b, p
g, e, b, s
g, e, b, t
g, e, b, w
g, e, b, y
g, e, c, b
g, e, c, c
g, e, c, d
g, e, c, e
g, e, c, f
g, e, c, g
g, e, c, h
g, e, c, l
g, e, c, m
g, e, c, n
g, e, c, p
g, e, c, q
g, e, c, s
g, e, c, v
g, e, c, w
g, e, c, y
g, e, c, z
g, e, d, b
g, e, d, c
g, e, d, f
g, e, d, g
g, e, d, h
g, e, d, j
g, e, d, k
g, e, d, m
g, e, d, p
g, e, d, q
g, e, d, t
g, e, d, v
g, e, d, w
g, e, e, a
g, e, e, e
g, e, e, f
g, e, e, m
g, e, e, o
g, e, e, q
g, e, e, u
g, e, e, v
g, e, e, w
g, e, e, x
g, e, e, y
g, e, f, b
g, e, f, c
g, e, f, d
g, e, f, g
g, e, f, h
g, e, f, k
g, e, f, m
g, e, f, n
g, e, f, p
g, e, f, s
g, e, f, t
g, e, f, w
g, e, f, y
g, e, f, z
g, e, f, '
g, e, g, a
g, e, g, b
g, e, g, d
g, e, g, f
g, e, g, h
g, e, g, k
g, e, g, m
g, e, g, n
g, e, g, o
g, e, g, p
g, e, g, q
g, e, g, s
g, e, g, t
g, e, g, u
g, e, g, w
g, e, g, y
g, e, g, '
g, e, h, b
g, e, h, c
g, e, h, d
g, e, h, f
g, e, h, g
g, e, h, k
g, e, h, n
g, e, h, p
g, e, h, q
g, e, h, s
g, e, h, t
g, e, h, u
g, e, h, w
g, e, h, y
g, e, h, '
g, e, i, d
g, e, i, f
g, e, i, h
g, e, i, i
g, e, i, j
g, e, i, m
g, e, i, u
g, e, i, v
g, e, i, w
g, e, i, x
g, e, i, y
g, e, i, z
g, e, k, a
g, e, k, b
g, e, k, c
g, e, k, d
g, e, k, f
g, e, k, g
g, e, k, h
g, e, k, l
g, e, k, m
g, e, k, n
g, e, k, p
g, e, k, r
g, e, k, s
g, e, k, t
g, e, k, v
g, e, k, w
g, e, k, y
g, e, k, '
g, e, l, g
g, e, l, j
g, e, l, k
g, e, l, p
g, e, l, q
g, e, l, r
g, e, l, v
g, e, l, x
g, e, l, z
g, e, m, b
g, e, m, c
g, e, m, d
g, e, m, g
g, e, m, h
g, e, m, j
g, e, m, k
g, e, m, n
g, e, m, r
g, e, m, t
g, e, m, v
g, e, m, y
g, e, m, z
g, e, n, j
g, e, n, p
g, e, n, q
g, e, n, w
g, e, n, x
g, e, o, k
g, e, o, o
g, e, o, w
g, e, o, x
g, e, o, y
g, e, o, z
g, e, p, a
g, e, p, b
g, e, p, c
g, e, p, d
g, e, p, f
g, e, p, g
g, e, p, k
g, e, p, m
g, e, p, n
g, e, p, q
g, e, p, t
g, e, p, u
g, e, p, w
g, e, p, y
g, e, p, z
g, e, r, j
g, e, r, q
g, e, r, x
g, e, s, b
g, e, s, d
g, e, s, f
g, e, s, g
g, e, s, k
g, e, s, r
g, e, s, y
g, e, s, z
g, e, t, b
g, e, t, c
g, e, t, d
g, e, t, j
g, e, t, k
g, e, t, v
g, e, t, w
g, e, u, a
g, e, u, b
g, e, u, c
g, e, u, d
g, e, u, e
g, e, u, f
g, e, u, h
g, e, u, i
g, e, u, k
g, e, u, o
g, e, u, t
g, e, u, u
g, e, u, v
g, e, u, w
g, e, u, z
g, e, u, '
g, e, v, c
g, e, v, d
g, e, v, g
g, e, v, h
g, e, v, k
g, e, v, m
g, e, v, n
g, e, v, r
g, e, v, s
g, e, v, t
g, e, v, u
g, e, v, v
g, e, v, w
g, e, v, x
g, e, v, y
g, e, v, z
g, e, w, b
g, e, w, c
g, e, w, d
g, e, w, f
g, e, w, h
g, e, w, k
g, e, w, l
g, e, w, m
g, e, w, n
g, e, w, p
g, e, w, s
g, e, w, t
g, e, w, w
g, e, w, y
g, e, w, '
g, e, x, a
g, e, x, b
g, e, x, c
g, e, x, d
g, e, x, e
g, e, x, f
g, e, x, g
g, e, x, h
g, e, x, i
g, e, x, l
g, e, x, m
g, e, x, n
g, e, x, o
g, e, x, p
g, e, x, q
g, e, x, r
g, e, x, s
g, e, x, t
g, e, x, u
g, e, x, v
g, e, x, w
g, e, x, x
g, e, x, y
g, e, x, z
g, e, y, b
g, e, y, c
g, e, y, f
g, e, y, g
g, e, y, h
g, e, y, j
g, e, y, k
g, e, y, p
g, e, y, r
g, e, y, t
g, e, y, u
g, e, y, v
g, e, y, w
g, e, y, x
g, e, y, y
g, e, z, a
g, e, z, b
g, e, z, c
g, e, z, d
g, e, z, f
g, e, z, g
g, e, z, h
g, e, z, k
g, e, z, l
g, e, z, m
g, e, z, n
g, e, z, o
g, e, z, p
g, e, z, q
g, e, z, r
g, e, z, s
g, e, z, u
g, e, z, v
g, e, z, w
g, e, z, y
g, e, z, z
g, e, z, '
g, e, ', d
g, e, ', l
g, e, ', n
g, e, ', o
g, e, ', r
g, e, ', v
g, f, a, a
g, f, a, b
g, f, a, d
g, f, a, e
g, f, a, f
g, f, a, g
g, f, a, h
g, f, a, j
g, f, a, k
g, f, a, m
g, f, a, n
g, f, a, o
g, f, a, p
g, f, a, q
g, f, a, t
g, f, a, v
g, f, a, w
g, f, a, x
g, f, a, y
g, f, a, z
g, f, a, '
g, f, c, a
g, f, c, c
g, f, c, f
g, f, c, g
g, f, c, h
g, f, c, k
g, f, c, l
g, f, c, o
g, f, c, p
g, f, c, r
g, f, c, s
g, f, c, t
g, f, c, u
g, f, c, w
g, f, c, y
g, f, c, '
g, f, e, a
g, f, e, b
g, f, e, c
g, f, e, f
g, f, e, g
g, f, e, h
g, f, e, i
g, f, e, k
g, f, e, m
g, f, e, o
g, f, e, p
g, f, e, u
g, f, e, v
g, f, e, w
g, f, e, x
g, f, e, '
g, f, i, a
g, f, i, b
g, f, i, c
g, f, i, d
g, f, i, f
g, f, i, i
g, f, i, j
g, f, i, k
g, f, i, m
g, f, i, o
g, f, i, p
g, f, i, q
g, f, i, t
g, f, i, u
g, f, i, v
g, f, i, x
g, f, i, y
g, f, i, z
g, f, i, '
g, f, l, b
g, f, l, c
g, f, l, d
g, f, l, e
g, f, l, f
g, f, l, h
g, f, l, i
g, f, l, l
g, f, l, n
g, f, l, p
g, f, l, r
g, f, l, s
g, f, l, t
g, f, l, w
g, f, l, y
g, f, l, '
g, f, n, a
g, f, n, c
g, f, n, d
g, f, n, e
g, f, n, f
g, f, n, g
g, f, n, i
g, f, n, m
g, f, n, n
g, f, n, o
g, f, n, p
g, f, n, u
g, f, n, y
g, f, n, '
g, f, o, a
g, f, o, b
g, f, o, c
g, f, o, d
g, f, o, e
g, f, o, f
g, f, o, g
g, f, o, h
g, f, o, i
g, f, o, k
g, f, o, l
g, f, o, m
g, f, o, n
g, f, o, p
g, f, o, s
g, f, o, t
g, f, o, v
g, f, o, w
g, f, o, y
g, f, o, z
g, f, r, b
g, f, r, c
g, f, r, d
g, f, r, e
g, f, r, f
g, f, r, g
g, f, r, k
g, f, r, l
g, f, r, m
g, f, r, p
g, f, r, r
g, f, r, s
g, f, r, t
g, f, r, w
g, f, r, y
g, f, r, z
g, f, r, '
g, f, t, a
g, f, t, b
g, f, t, c
g, f, t, d
g, f, t, e
g, f, t, f
g, f, t, g
g, f, t, h
g, f, t, i
g, f, t, l
g, f, t, m
g, f, t, n
g, f, t, o
g, f, t, p
g, f, t, r
g, f, t, s
g, f, t, t
g, f, t, v
g, f, t, w
g, f, t, y
g, f, t, z
g, f, t, '
g, f, u, a
g, f, u, b
g, f, u, c
g, f, u, d
g, f, u, e
g, f, u, f
g, f, u, g
g, f, u, h
g, f, u, i
g, f, u, j
g, f, u, k
g, f, u, m
g, f, u, n
g, f, u, q
g, f, u, r
g, f, u, s
g, f, u, t
g, f, u, u
g, f, u, v
g, f, u, y
g, f, u, z
g, f, u, '
g, g, a, c
g, g, a, f
g, g, a, j
g, g, a, o
g, g, a, v
g, g, a, w
g, g, a, y
g, g, b, a
g, g, b, g
g, g, b, h
g, g, b, i
g, g, b, j
g, g, b, l
g, g, b, m
g, g, b, o
g, g, b, r
g, g, b, s
g, g, b, t
g, g, b, u
g, g, b, y
g, g, b, z
g, g, b, '
g, g, c, b
g, g, c, c
g, g, c, d
g, g, c, e
g, g, c, f
g, g, c, g
g, g, c, h
g, g, c, i
g, g, c, l
g, g, c, m
g, g, c, o
g, g, c, s
g, g, c, t
g, g, c, v
g, g, c, y
g, g, c, '
g, g, d, a
g, g, d, b
g, g, d, e
g, g, d, i
g, g, d, n
g, g, d, o
g, g, d, p
g, g, d, s
g, g, d, u
g, g, d, y
g, g, d, '
g, g, e, b
g, g, e, c
g, g, e, f
g, g, e, g
g, g, e, h
g, g, e, k
g, g, e, m
g, g, e, o
g, g, e, p
g, g, e, v
g, g, e, w
g, g, e, x
g, g, e, y
g, g, e, z
g, g, f, a
g, g, f, c
g, g, f, e
g, g, f, l
g, g, f, n
g, g, f, o
g, g, f, t
g, g, f, u
g, g, h, a
g, g, h, b
g, g, h, c
g, g, h, d
g, g, h, f
g, g, h, g
g, g, h, h
g, g, h, i
g, g, h, j
g, g, h, k
g, g, h, l
g, g, h, m
g, g, h, n
g, g, h, p
g, g, h, q
g, g, h, r
g, g, h, s
g, g, h, t
g, g, h, u
g, g, h, v
g, g, h, w
g, g, h, y
g, g, h, z
g, g, h, '
g, g, i, b
g, g, i, c
g, g, i, g
g, g, i, h
g, g, i, i
g, g, i, j
g, g, i, k
g, g, i, m
g, g, i, p
g, g, i, q
g, g, i, u
g, g, i, z
g, g, l, a
g, g, l, b
g, g, l, c
g, g, l, d
g, g, l, h
g, g, l, m
g, g, l, r
g, g, l, t
g, g, l, '
g, g, m, b
g, g, m, c
g, g, m, g
g, g, m, h
g, g, m, l
g, g, m, o
g, g, m, p
g, g, m, r
g, g, m, s
g, g, m, t
g, g, m, u
g, g, m, w
g, g, m, y
g, g, m, '
g, g, n, b
g, g, n, c
g, g, n, d
g, g, n, e
g, g, n, f
g, g, n, g
g, g, n, h
g, g, n, i
g, g, n, l
g, g, n, m
g, g, n, n
g, g, n, p
g, g, n, r
g, g, n, s
g, g, n, t
g, g, n, u
g, g, n, w
g, g, n, y
g, g, n, '
g, g, o, a
g, g, o, b
g, g, o, c
g, g, o, d
g, g, o, f
g, g, o, g
g, g, o, h
g, g, o, i
g, g, o, k
g, g, o, m
g, g, o, o
g, g, o, p
g, g, o, q
g, g, o, v
g, g, o, x
g, g, o, y
g, g, o, z
g, g, p, a
g, g, p, c
g, g, p, d
g, g, p, e
g, g, p, h
g, g, p, i
g, g, p, m
g, g, p, o
g, g, p, r
g, g, p, s
g, g, p, u
g, g, p, '
g, g, r, b
g, g, r, d
g, g, r, f
g, g, r, n
g, g, r, p
g, g, r, r
g, g, r, s
g, g, r, u
g, g, r, x
g, g, s, a
g, g, s, b
g, g, s, c
g, g, s, e
g, g, s, f
g, g, s, g
g, g, s, k
g, g, s, l
g, g, s, m
g, g, s, n
g, g, s, o
g, g, s, p
g, g, s, r
g, g, s, s
g, g, s, u
g, g, s, w
g, g, s, y
g, g, u, a
g, g, u, b
g, g, u, c
g, g, u, d
g, g, u, e
g, g, u, f
g, g, u, g
g, g, u, h
g, g, u, i
g, g, u, j
g, g, u, k
g, g, u, l
g, g, u, o
g, g, u, p
g, g, u, s
g, g, u, t
g, g, u, v
g, g, u, y
g, g, u, z
g, g, u, '
g, g, w, e
g, g, w, i
g, g, w, o
g, g, w, r
g, g, w, s
g, g, w, u
g, g, w, y
g, g, w, '
g, g, y, a
g, g, y, d
g, g, y, e
g, g, y, g
g, g, y, h
g, g, y, i
g, g, y, n
g, g, y, o
g, g, y, p
g, g, y, s
g, g, y, t
g, g, y, u
g, g, y, v
g, g, y, z
g, g, ', d
g, g, ', u
g, h, a, c
g, h, a, e
g, h, a, h
g, h, a, j
g, h, a, k
g, h, a, p
g, h, a, q
g, h, a, x
g, h, b, m
g, h, b, n
g, h, b, p
g, h, b, '
g, h, c, b
g, h, c, d
g, h, c, f
g, h, c, g
g, h, c, i
g, h, c, l
g, h, c, m
g, h, c, r
g, h, c, s
g, h, c, t
g, h, c, u
g, h, c, '
g, h, d, b
g, h, d, d
g, h, d, e
g, h, d, h
g, h, d, k
g, h, d, m
g, h, d, q
g, h, d, s
g, h, d, t
g, h, d, u
g, h, d, w
g, h, d, x
g, h, d, '
g, h, e, c
g, h, e, f
g, h, e, h
g, h, e, i
g, h, e, j
g, h, e, k
g, h, e, p
g, h, e, q
g, h, e, u
g, h, e, v
g, h, e, x
g, h, e, z
g, h, f, d
g, h, f, g
g, h, f, r
g, h, f, s
g, h, f, t
g, h, f, '
g, h, g, e
g, h, g, i
g, h, g, l
g, h, g, m
g, h, g, t
g, h, g, u
g, h, g, v
g, h, g, w
g, h, g, '
g, h, h, d
g, h, h, f
g, h, h, i
g, h, h, n
g, h, h, s
g, h, h, u
g, h, h, y
g, h, i, f
g, h, i, g
g, h, i, h
g, h, i, i
g, h, i, j
g, h, i, k
g, h, i, m
g, h, i, p
g, h, i, q
g, h, i, u
g, h, i, v
g, h, i, w
g, h, i, x
g, h, i, y
g, h, j, e
g, h, j, i
g, h, j, n
g, h, j, s
g, h, k, a
g, h, k, f
g, h, k, h
g, h, k, i
g, h, k, j
g, h, k, o
g, h, k, u
g, h, k, y
g, h, l, b
g, h, l, c
g, h, l, d
g, h, l, g
g, h, l, h
g, h, l, k
g, h, l, l
g, h, l, m
g, h, l, q
g, h, l, r
g, h, l, s
g, h, l, t
g, h, l, u
g, h, l, v
g, h, l, w
g, h, l, '
g, h, m, b
g, h, m, c
g, h, m, g
g, h, m, i
g, h, m, l
g, h, m, m
g, h, m, n
g, h, m, p
g, h, m, s
g, h, m, t
g, h, m, u
g, h, m, y
g, h, m, '
g, h, n, b
g, h, n, c
g, h, n, d
g, h, n, f
g, h, n, h
g, h, n, i
g, h, n, k
g, h, n, l
g, h, n, m
g, h, n, n
g, h, n, o
g, h, n, p
g, h, n, q
g, h, n, t
g, h, n, v
g, h, n, y
g, h, o, a
g, h, o, b
g, h, o, d
g, h, o, e
g, h, o, g
g, h, o, h
g, h, o, i
g, h, o, j
g, h, o, k
g, h, o, n
g, h, o, q
g, h, o, v
g, h, o, w
g, h, o, x
g, h, o, y
g, h, o, z
g, h, p, d
g, h, p, e
g, h, p, h
g, h, p, l
g, h, p, n
g, h, p, p
g, h, p, r
g, h, p, s
g, h, p, t
g, h, p, v
g, h, p, '
g, h, r, b
g, h, r, d
g, h, r, f
g, h, r, h
g, h, r, j
g, h, r, k
g, h, r, l
g, h, r, m
g, h, r, p
g, h, r, r
g, h, r, v
g, h, r, w
g, h, r, z
g, h, r, '
g, h, s, a
g, h, s, b
g, h, s, d
g, h, s, f
g, h, s, g
g, h, s, k
g, h, s, n
g, h, s, r
g, h, s, s
g, h, s, u
g, h, s, v
g, h, s, w
g, h, s, y
g, h, t, z
g, h, u, b
g, h, u, c
g, h, u, d
g, h, u, f
g, h, u, g
g, h, u, h
g, h, u, i
g, h, u, j
g, h, u, k
g, h, u, o
g, h, u, p
g, h, u, q
g, h, u, s
g, h, u, u
g, h, u, v
g, h, u, x
g, h, v, a
g, h, v, h
g, h, v, r
g, h, v, y
g, h, w, d
g, h, w, h
g, h, w, m
g, h, w, t
g, h, w, u
g, h, w, y
g, h, y, a
g, h, y, b
g, h, y, c
g, h, y, d
g, h, y, e
g, h, y, f
g, h, y, g
g, h, y, h
g, h, y, i
g, h, y, k
g, h, y, m
g, h, y, n
g, h, y, o
g, h, y, p
g, h, y, r
g, h, y, s
g, h, y, t
g, h, y, u
g, h, y, v
g, h, y, w
g, h, y, x
g, h, y, y
g, h, z, a
g, h, z, i
g, h, z, o
g, h, z, y
g, h, z, '
g, h, ', a
g, h, ', i
g, h, ', m
g, i, a, a
g, i, a, f
g, i, a, g
g, i, a, j
g, i, a, q
g, i, a, w
g, i, a, x
g, i, a, y
g, i, a, z
g, i, b, c
g, i, b, d
g, i, b, g
g, i, b, h
g, i, b, k
g, i, b, m
g, i, b, n
g, i, b, t
g, i, b, w
g, i, b, y
g, i, b, z
g, i, c, b
g, i, c, c
g, i, c, f
g, i, c, g
g, i, c, j
g, i, c, m
g, i, c, p
g, i, c, q
g, i, c, t
g, i, c, v
g, i, c, w
g, i, c, y
g, i, c, z
g, i, d, b
g, i, d, c
g, i, d, f
g, i, d, h
g, i, d, k
g, i, d, m
g, i, d, p
g, i, d, t
g, i, d, v
g, i, d, w
g, i, d, z
g, i, e, e
g, i, e, g
g, i, e, h
g, i, e, j
g, i, e, k
g, i, e, o
g, i, e, p
g, i, e, q
g, i, e, v
g, i, e, x
g, i, e, y
g, i, e, z
g, i, f, a
g, i, f, c
g, i, f, d
g, i, f, k
g, i, f, l
g, i, f, m
g, i, f, n
g, i, f, r
g, i, f, s
g, i, g, c
g, i, g, d
g, i, g, j
g, i, g, k
g, i, g, p
g, i, g, v
g, i, g, w
g, i, g, y
g, i, g, z
g, i, h, c
g, i, h, d
g, i, h, f
g, i, h, h
g, i, h, k
g, i, h, l
g, i, h, n
g, i, h, o
g, i, h, p
g, i, h, r
g, i, h, s
g, i, h, t
g, i, h, u
g, i, h, w
g, i, h, y
g, i, h, z
g, i, h, '
g, i, i, a
g, i, i, c
g, i, i, e
g, i, i, f
g, i, i, g
g, i, i, h
g, i, i, i
g, i, i, k
g, i, i, l
g, i, i, m
g, i, i, o
g, i, i, p
g, i, i, r
g, i, i, u
g, i, i, v
g, i, i, w
g, i, i, z
g, i, j, a
g, i, j, b
g, i, j, d
g, i, j, e
g, i, j, h
g, i, j, j
g, i, j, k
g, i, j, l
g, i, j, m
g, i, j, n
g, i, j, r
g, i, j, s
g, i, j, t
g, i, j, u
g, i, j, v
g, i, j, w
g, i, k, a
g, i, k, d
g, i, k, e
g, i, k, h
g, i, k, i
g, i, k, j
g, i, k, k
g, i, k, l
g, i, k, m
g, i, k, n
g, i, k, p
g, i, k, r
g, i, k, s
g, i, k, t
g, i, k, v
g, i, k, w
g, i, k, y
g, i, k, z
g, i, l, h
g, i, l, j
g, i, l, k
g, i, l, n
g, i, l, q
g, i, l, w
g, i, l, z
g, i, m, d
g, i, m, f
g, i, m, g
g, i, m, h
g, i, m, j
g, i, m, k
g, i, m, n
g, i, m, o
g, i, m, r
g, i, m, s
g, i, m, t
g, i, m, u
g, i, m, v
g, i, m, w
g, i, m, y
g, i, m, z
g, i, m, '
g, i, n, f
g, i, n, j
g, i, n, p
g, i, n, r
g, i, n, x
g, i, o, o
g, i, o, q
g, i, o, w
g, i, o, x
g, i, o, y
g, i, p, b
g, i, p, c
g, i, p, d
g, i, p, f
g, i, p, g
g, i, p, i
g, i, p, j
g, i, p, k
g, i, p, l
g, i, p, m
g, i, p, n
g, i, p, r
g, i, p, u
g, i, p, w
g, i, p, x
g, i, p, y
g, i, p, z
g, i, p, '
g, i, q, a
g, i, q, b
